,STEPHISCOLD,sentiment,cluster
328,be good looking,4.0,0.0
329,indifference mystery,1.0,0.0
330,7 43,3.0,0.0
331,steph give your thoughts on the adam ali situation,4.0,2.0
332,what if being a nice guy beta is the toxic behavior that turns women off and being a man doing your shit not giving them all your time maintaining frame making yourself the priority is the healthy behavior they are looking for,1.0,1.0
333,yes this is true as a women i don t really like men that smother me i love attention but i love it more when i can see a man on his shit and has his own life,5.0,1.0
334,it s a toxic behavior until the nice guy is the only viable option as a replacement step dad to her kids after she becomes single mom after being ran through and hit the wall fucking with all of these fuck boys left to be scraps or leftovers to the nice guy that s the issue,1.0,1.0
335,i think that s exactly what it is though,4.0,1.0
336,skate3450 that s another perspective to look at it i guess make sense to me,3.0,0.0
337,exactly it makes sense to me instincts make sense to me not complicated if you being fake an suck in up to her instincts don t like that so do you and don t give a fuck cuz that what we really want to do,5.0,1.0
338,some guys couldn t handle a woman s truth thats why they lie i like your dad bod what she means you need to lose weight why do you think she puts her husband on a diet,3.0,1.0
339,actually not true bro females are smart and they know by keeping a guy overweight they re limiting his options with other woman it s like a guy who has an average looking gf but with makeup she becomes way more attractive a guy might try prohibit makeup as much as possible to limit her attractiveness options a girl keeping a guy overweight simply knows he s better looking and more desirable by woman when he s in shape,2.0,1.0
340,ngl i ain t know what 304 was either i had to search it up,1.0,0.0
341,they love toxix guys because they re toxic its simple a half decent women isnt going to want to chase another grown man around,3.0,1.0
342,nahhhh lmao i can tell u that kind nice girls love this shit too they all do i ve been that guy for that girl it isss what it isssss,3.0,1.0
343,this here not all women are toxic some won t even give toxicity the time or the day some woman already know what they want but thats the thing only some there s not many,3.0,1.0
344,saw this chick that said she wants a man that gives her the world i did that she broke up w me now im older nd look better guess who wants me now,1.0,0.0
345,that s backwards asf i m super blessed to learn this because this would be confusing if i didn t,4.0,0.0
346,i texted a girl yall women are so backwards and her reply was i know we are it s amazingly sad tbh but that is their life not mine,1.0,1.0
347,well at least she admitted it that s actually shocking because most wont admit to it they would rather live a lie but like you said it s their lives,3.0,1.0
348,my ex lied about hella shit i called her out broke up with her didnt talk to her for 2 days then she blew up my phone apologizing about everything and told me all the shit she was lying about thinking i would take her back lmao,1.0,0.0
349,never get in a relationship just have a rotation and stay out the way,1.0,1.0
350,dropped some more fyeeee,3.0,0.0
351,go to the gym and become toxic remember guys be the one she cheats with not the one she cheats on,1.0,1.0
352,francois nel this satanic doctrine started with the feminist sexual liberation movement the tyrones and chads took advantage of that and now if your 23 you d be surprised if you found a women with under 6 bodies adapt or die,1.0,1.0
353,francois nel they don t understand we as men allowed this to happen because tyrone and chad don t hold this women accountable and dismiss them if they were trying to cheat on their man it made their behavior acceptable tyrone and chad on that me first mentality selfishness is one of the roots of all of this,1.0,1.0
354,truth they all cheat,1.0,1.0
355,naphtali de wit no sir i don t do relationships only female friends with benefits,1.0,0.0
356,preludef20bking other side of the fence,4.0,1.0
357,been there done that it s bull you think like that until you re on the other side of the fence,2.0,1.0
358,this mantality is bad,1.0,0.0
359,mfs can t believe this shit works and if it does it s with 8 s none of y all pulling 9 10s so what are we talking about,1.0,1.0
360,damn this is gonna fuck up the world even more it s all a cycle it s tyrone and chad s fault too,1.0,0.0
361,why do you think these women love future,5.0,1.0
362,not all of us do,2.0,1.0
363,lol facts bro,5.0,2.0
364,ayo someone send dr dre the link to this channel,1.0,0.0
365,7 34 had me dead when he said 304,1.0,0.0
366,steph been thinking about this red pill stuff and it s like damn you right but at the same time i feel like a lot of people are being led into a low spirit the whole idea of pump and dump sleeping with a random girl who is probably an adulteress i don t think it makes sense i think it s best to promote the idea of being with a woman who acc adds some form of value only instead of this pump and dump because some of these young boys like me are out here wanting to sleep with any random girl and eventually this random girl could ruin they life with this pump and dump,2.0,1.0
367,right because people are aware of the game at a young age the cycle will keep going on some of us actually just want a simple genuine relationship and nothing toxic but since others keep doing all this and making ppl feel like this the good will be succumbed by the bad day by day,4.0,1.0
368,so i m assuming you want a ltr in that case you can spin some plates and from there on decide which is the best girl for your commitment promote that plate to ltr drop the other plates common signs of not ltr material bipolar disorder borderline personality disorder narcissistic personality disorder 304 tendencies a lot of male friends etc remember a girl isn t your priority your purpose is far more important note do not catch oneitis oneitis can easily happen with a ltr you re the prize always have an abundance mindset how you handle the ltr is on you utilize the red pill don t and you will be sucked back in the matrix oneitis when a guy has fallen in love with a woman in the same way a boy loves his mother he obsesses about her but she does not reciprocate plate woman with whom you are in a non exclusive sexual relationship with spinning plates is the act of having multiple plates simultaneously ltr long term relationship,2.0,1.0
369,you are a very wise young man and your comment is a breath of fresh air you know the truth,5.0,1.0
370,steph has mentioned that multiple times that the women should add some sort of value to your life especially if you putting your time and especially money into her he also mentions nothing wrong with dating but you need to be aware and don t be a fool,4.0,1.0
371,22 years old and he knows all the facts salute to you bro,5.0,2.0
372,till she buhhhh,1.0,0.0
373,damn this depressing af haha,1.0,0.0
374,i m young asf the world is devastating but ima pave a light path for me,3.0,0.0
375,it is bro but at least we got the knowledge to navigate thru this shit,2.0,2.0
376,aye i feel you bruh but you just learning the truth about female nature consider it a blessing because a lot of men out here won t know this game,3.0,1.0
377,mindset 100,1.0,0.0
378,listening to this knowledge in my baccyard with the cool breeze blowing and the birds chirping after a good workout and protein dinner feels real good fellas good shit steph,5.0,2.0
379,u must ve got a new pack of tank tops cuz that s all u been rockin lately g definitely the wave for the summer,5.0,0.0
380,they sayings are always oxymorons,1.0,1.0
381,i want someone to call me every hour bring me flowers keep it up y all keep doing that bogus ass shit you gonna find yourself mad sad cause bro say this shit over and over and y all don t listen,1.0,0.0
382,patrice o neal would be proud,4.0,0.0
383,signed up for the free ebook can t wait to read it been doing a lot of reading as of late,4.0,1.0
384,these women are smart,5.0,1.0
385,they re not as smart as they come across a woman s emotions always get the best of her,3.0,1.0
386,today steph every bitch is a 304 however we just gotta ask what s is the p e ratio or what is your cut off number,3.0,2.0
387,shoutout to stephiscold for droppin that real cold book you a real one fam,1.0,2.0
388,man stephiscold your right on point with this topic bro can t get logic from someone that s act s on their emotions i take there word for a grain of salt even the one s that say i wouldn t do that to you,1.0,1.0
389,7 38,3.0,0.0
390,this man be saying the opposite to every girl on social media and i love it,5.0,1.0
391,ranen narsey they be lying perception is everything to them,1.0,1.0
392,numbers don t lie women do,1.0,1.0
393,women love when men don t care for them invest in yourself kings,5.0,1.0
394,and in cryptos my g xd,5.0,0.0
395,they re cold lol if the guy isn t cooperative she ll lie to another guy to get to close to the guy she does want lmao it s not about just dick neither guys it s the dick they actually want and desire,2.0,1.0
396,i genuinely appreciate stephiscold,5.0,0.0
397,oh another thing the more she don t lie about her having a husband or something she telling you she want to be your pornstar privately a dark secret she won t even tell herself that s a woman trump card lol,1.0,0.0
398,edible _ horse out there,4.0,0.0
399,edible _ horse and you may that old yesssssss energy is that real everyone has someone out that just does for them and it s indescribable,1.0,0.0
400,edible _ horse a woman can go up to 40 something yrs old and run into a guy who just does it for her her body uncontrollably around him and that s him,4.0,0.0
401,i ve always wondered what a 304 is but i can use mfn context clues so i kinda knew when he said put it in ya calculator and turn it upside down i died,2.0,0.0
402,chicks put it in my pager back then,5.0,0.0
403,hahaha just got it,5.0,0.0
404,i m dead i can imagine dude turning the calculator upside down an bring oohhhhhhhhh,1.0,0.0
405,i thought it had something to do with a phone like how each number got letters lmao,2.0,1.0
406,king staunch search it up,5.0,0.0
407,i laughed when i found out too,2.0,0.0
408,lol i still don t get it yet help a brother out,3.0,0.0
409,there s this one girl on my ig in her stories keep posting memes about wanting a man who only wants her now that i m red pilled i automatically know that a guy digging her guts out and he s an alpha with a rotation of women if i was still blue pilled i would been white knighting for her,1.0,0.0
410,always remember that brotha,5.0,0.0
411,this seems like a dig at this movement love this comment,5.0,0.0
412,fams i don t even dig when i m in the sack i just sit here and act like she needs to put the heat on or i m leaving,1.0,1.0
413,rihanna would always choose chris brown over any guy whenever he ready idk if he knows that or not but coming across the page he would lol the more abrupt the departure is the more she will do anything for you if you let her in again,3.0,1.0
414,she recently broke up with a billionaire as well,3.0,0.0
415,joshua travis also lebron james she got a whole crush on him,5.0,0.0
416,all the orbiters needa see this channel,5.0,0.0
417,i m gonna comment before watching the video i will see it later but then toxic is not pathetic like always worried about what someone is doing blaming discussin so women like that i thought girls liked a man thats cold who is not crying and blaming everytime,2.0,1.0
418,till she bushhhhhh,1.0,0.0
419,there s this girl rn saying that i don t care about her but she still texting me this also applies in high school as well,4.0,0.0
420,keep on not caring about her all we can do is laugh at girls like that,1.0,1.0
421,i heard 304 years ago from amg bitch better have my money now i m hearing it again knowledge,5.0,0.0
422,a chick that kept dming talkin bout pics im like wtf is dis she keep saying im not trying to i said you going to shoot yo your shot r not she said im not interested you re not my type i said ok n kept grinding same chick on ig yesterday saying somebody put me on im not even worried nor suprised,1.0,0.0
423,that you can always expect them to lie to you i meant,5.0,1.0
424,ashley jean lmao nah but this shit true been through a lot of this b4,5.0,0.0
425,maybe u should date a man instead,1.0,0.0
426,dude your thumbnails are fucking with me you do realise men watch your shit right my g,1.0,0.0
427,damn 366 like in 22 minutes dat boi steph is cold,1.0,2.0
428,they love the challenge,5.0,1.0
429,so woman are naturally inclined to lie to get what they want and it s your job as a man to see through that,3.0,1.0
430,luck augustin being on semen retention will allow you to become the man that will help her feel more comfortable for her to open up to you more she ll trust you more,4.0,1.0
431,304 403 yelling hoooooooooooooooe,1.0,0.0
432,gentlemen all those if your toxic hmu memes ain t a joke they disguising the truth in comedy,1.0,1.0
433,all good jokes contain true shit j cole,1.0,0.0
434,not even comedy bruh all them memes and shit sad tbh,1.0,0.0
435,finally someone said it,1.0,0.0
436,ain t this the truth,1.0,0.0
437,this man is a father figure for me so blessed stay cold stay knowledgeable,5.0,0.0
438,always take a woman s claims and stories with a grain of salt they tell the biggest lies the dms loaded like she forgot to take out the trash on garbage day it s consistent the biggest lies are always the most dangerous remember that fam,1.0,1.0
439,the small lies they tell are dangerous,2.0,1.0
440,the bigger the lie the more people will believe in it,3.0,1.0
441,you dropped this king,1.0,0.0
442,solid video something i disagree with is the she cheats with the guy she really wants to be in a relationship with that is not true in many cases they cheat for sexual pleasure out of boredom or just because they know hubby will never find out saying this out of experience,4.0,1.0
443,bro you right one thing about a woman they are never satisfied she can have an alpha digging her out and she ll be like i m tired of being dug out i need me a medium stick lol,1.0,1.0
444,i think what he means by that is if a woman could be in a relationship with a player she would be but they won t be in a relationship with one because a player isn t likely to stick around because they re players therefore women use players for sexual pleasure instead,3.0,1.0
445,stephiscold but you know what s colder tell me when you know,3.0,1.0
446,if women really wanted men that other women don t won t there wouldn t be any incels,1.0,1.0
447,hence why women love soap operas drama shows movies reality tv drama they love drama,5.0,1.0
448,legendary as always appreciate the content fells,5.0,0.0
449,bro changing lives day by day love to see it,5.0,2.0
450,you ain t heard steph is cold,1.0,2.0
451,cover dr dre s wife divorcing him next bro,1.0,2.0
452,she ran up her bag then dipped,1.0,0.0
453,her actions will speak louder than her words,5.0,0.0
454,it always will g action always has power over talk,5.0,0.0
455,true dat,5.0,0.0
456,1 41 why why why can t i be the mvp of the league why can t i be the best player of the league,5.0,1.0
457,dudes in his 20 s and i m 36 younger guys listen trust me he s wiser than me,5.0,0.0
458,mr dawson came from a bad background only realising and been open recently if there are younger men watching this learn from a man that s been scorned,1.0,0.0
459,he has wisdom beyond his years,5.0,0.0
460,my guy with the consistency,5.0,0.0
461,sub to the patreon,4.0,1.0
462,expose them steph you keeping it i be calling them out they know they have good dudes in their friendzone they won t give the time of day to,1.0,1.0
463,any thing women say men are doing are aint doing thats really them remember that fellas peace,1.0,1.0
464,it goes both ways too a lotta these niggas action don t match they words the truth hurts but that shit will boot yo ass to freedom,1.0,1.0
465,steph you are one of the main brothas that helped me accumulate knowledge particularly women i want to say thanks man and if any of you brothas want to subscribe to my channel yall come check me out peace,5.0,1.0
466,legendary content i watch every single vid,5.0,0.0
467,you too damn cold bro,1.0,2.0
468,100 100 steph never miss,5.0,2.0
469,wait steph got an e book,1.0,2.0
470,the intro literally have me tearing up at 37 i can say i don t need the game just supporting a fellow brother i came across the video killthebeta while i was jogging to the gym classic video the message was clear and straight to the point plus it was hilarious the way stephiscold got on his uncle lol but with all that said this brother started way before that video i did my homework and knowing how far he has come all the way to dropping a book i can t help but to be inspired me i just want to work and do my thing but for anyone out there looking to really get it stephiscold is surely showing us you the way to do it i m so inspired i have to truly find my purpose and make things greater for myself and kids peace g,5.0,1.0
471,females say they wanna be with superman but walks past clark kent every day,3.0,1.0
472,leo2001 batman beta 2,5.0,0.0
473,steph be calm tho,5.0,2.0
474,all facts,5.0,2.0
475,these are some hard facts for men indoctrinated into feminism listen to this guys this is red pill rage phase get through it so you can be at peace after,5.0,1.0
476,who else got put on red pill knowledge from steph,1.0,2.0
477,i started with darius m,5.0,0.0
478,right here bro,5.0,2.0
479,toxicity levels is all women want,1.0,1.0
480,patrick morgan,4.0,0.0
481,aaliyah aziz pretty much g,3.0,0.0
482,on deck bro witchuuuuu gonna listen while i run this mile real quick,5.0,2.0
483,the easiest way to attract the female you want is show you are attracted to them then pull back and act like she doesn t exist it will drive her crazy if she s finds you physically attractive,4.0,1.0
484,coming from a women i don t fw that shit fr he might be telling the truth when it comes we don t like friendly guys but other than that i like men that give me attention and but at the same time you want a man that has his own life and be on shit too,3.0,1.0
485,that s feeding her scraps my g,1.0,0.0
486,i swear a guy did that to me and well we didn t even get in a relationship cuz bitch i pulled back too,1.0,0.0
487,done it and i can say it works,4.0,1.0
488,yes it works,5.0,0.0
489,true it s like poker never show all your cards once you show her all your cards it s over she never shows all her cards,1.0,0.0
490,fortuna namputu comedy,5.0,0.0
491,thats gon make her chase you,3.0,0.0
492,women do this shit to me,5.0,1.0
493,naracia ghirga get in the top 10 then that s on you bro,5.0,2.0
494,thedarkknight problem with attractive guys they get second chance but the average looking only got one shot most guys including myself lack game that s why i m watching his videos,2.0,1.0
495,naracia ghirga true but no money either or status,1.0,0.0
496,thanos oh that makes sense exactly why women give the wrong advice on how to get women lol,1.0,1.0
497,i like this,5.0,0.0
498,anime boss everything you just said here couldn t be more far from the truth,5.0,0.0
499,60 percent of time it works all the time joke this works all the fucking time once you figure women out and can read their body language along with correctly interpreting their behaviour you can even predict their next moves before they even know that they are going to make it it is like playing 4d chess,5.0,1.0
500,anime boss this is exactly why i think it doesn t work pulling back works if the girl is acc interested in you,1.0,1.0
501,i m this exact situation man last week i approached a girl at the gym told her i m gonna be straight up with you i think you re cute would you like to hangout sometime she said yeah i gave her my number something i like to do i give the girl my number we ve texted a bit and i ve made it clear that i m attracted to her she hasn t texted back since yesterday evening no big deal i can handle it what i m gonna do now is exactly what you said pull away now that i have pushed and see how it works out go ahead and leave your thoughts guys i m really interested to hear what you have to say,5.0,1.0
502,rich omar says no need to over complicate things then writes a longer message then the original commenter,1.0,0.0
503,they love chaos you have to give her a mental safari of emotions anything outside of that you will be boring to her,5.0,1.0
504,another banger video man keep it up this really helps understand the knowledge of women,5.0,1.0
505,i think cause they fine that shit thrilling,4.0,1.0
506,steph where u been at on the patreon bro i need daily red pill dosage,5.0,2.0
507,i uploaded 2 vids yesterday my bad g,1.0,0.0
508,first in the comment sir toxic boys for life tb4l,5.0,0.0
509,cold fucking game g,1.0,2.0
510,if it wasn t for stephiscold idk where i would be mentally appreciate the knowledge bro,3.0,2.0
511,if it wasn t for steph i would be mentally and emotionally sick,2.0,2.0
512,if it wasn t for god you don t know where would you be my brother god sent him to us to educate the youth god bless my brother,1.0,0.0
513,wang john he would ve been now if it wasn t for stephiscold,3.0,0.0
514,forreal for us niggas without male figures to talk to us this is a life saver,5.0,0.0
515,true but i bet a lot of ppl already kno this lol it s common sense i learned my lessons with females it s funny cuzz the shii he telling y all really true if y all think he lyin trust me,3.0,0.0
516,he clean frfr his is more related to my situations,4.0,0.0
517,patrice o neal thats also where these dudes get their inspiration from,4.0,0.0
518,joelwtf same g,1.0,0.0
519,facts bro the beta mindset would have taken over me by now if i haven t ran into steph,3.0,2.0
520,you can say that again,5.0,1.0
521,we all can say that this man has been a true life saver,5.0,0.0
522,we all had our days g it s only growth after understanding,5.0,0.0
523,steph dropping gems like always,5.0,2.0
524,what s the instrumental steph,5.0,2.0
525,bro life ya i couldnt,1.0,2.0
526,i couldn t find it either the way steph type it,2.0,2.0
527,stephiscold thanks bro,5.0,2.0
528,type in the soundcloud app 9 9 9,5.0,0.0
529,watching from nigeria,5.0,0.0
530,madeby 20 red pill universal remember tht,5.0,0.0
531,watching from rhodesia,4.0,0.0
532,what are naija girls like,1.0,1.0
533,all facts bro mugs needs to wake tf up you preaching fam,1.0,2.0
534,because they cray,3.0,1.0
535,yurdd inspired me to make my first motivational video self improvement,5.0,0.0
536,actions speak louder than words,1.0,0.0
537,you the goat steph,5.0,2.0
538,just finished reading the ebook,2.0,0.0
539,i m ready to take this life long journey things will happen but i m prepared and this red pill knowledge will be applied to,5.0,1.0
540,truth is what what we seek,5.0,2.0
541,peace king,5.0,0.0
542,early gang,3.0,0.0
543,steph is cold,3.0,2.0
544,1st of many views,5.0,0.0
545,,,
546,,,
547,,,
548,,,
549,,,
550,,,
551,,,
552,,,
553,,,
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,
560,,,
561,,,
562,,,
563,,,
564,,,
565,,,
566,,,
567,,,
568,,,
569,,,
570,,,
571,,,
572,,,
573,,,
574,,,
575,,,
576,,,
577,,,
578,,,
579,,,
580,,,
581,,,
582,,,
583,,,
584,,,
585,,,
586,,,
587,,,
588,,,
589,,,
590,,,
591,,,
592,,,
593,,,
594,,,
595,,,
596,,,
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,,,
604,,,
605,,,
606,,,
607,,,
608,,,
609,,,
610,,,
611,,,
612,,,
613,,,
614,,,
615,,,
616,,,
617,,,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,
629,,,
630,,,
631,,,
632,,,
633,,,
634,,,
635,,,
636,,,
637,,,
638,,,
639,,,
640,,,
641,,,
642,,,
643,,,
644,,,
645,,,
646,,,
647,,,
648,,,
649,,,
650,,,
651,,,
652,,,
653,,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,,,
660,,,
661,,,
662,,,
663,,,
664,,,
665,,,
666,,,
667,,,
668,,,
669,,,
670,,,
671,,,
672,,,
673,,,
674,,,
675,,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,
691,,,
692,,,
693,,,
694,,,
695,,,
696,,,
697,,,
698,,,
699,,,
700,,,
701,,,
702,,,
703,,,
704,,,
705,,,
706,,,
707,,,
708,,,
709,,,
710,,,
711,,,
712,,,
713,,,
714,,,
715,,,
716,,,
717,,,
718,,,
719,,,
720,,,
721,,,
722,,,
723,,,
724,,,
725,,,
726,,,
727,,,
728,,,
729,,,
730,,,
731,,,
732,,,
733,,,
734,,,
735,,,
736,,,
737,,,
738,,,
739,,,
740,,,
741,,,
742,,,
743,,,
744,,,
745,,,
746,,,
747,,,
748,,,
749,,,
750,,,
751,,,
752,,,
753,,,
754,,,
755,,,
756,,,
757,,,
758,,,
759,,,
760,,,
761,,,
762,,,
763,,,
764,,,
765,,,
766,,,
767,,,
768,,,
769,,,
770,,,
771,,,
772,,,
773,,,
774,,,
775,,,
